pose_cap_00        ,pose_cap_01           ,pose_cap_02             ,pose_cap_03           ,pose_cap_10            ,pose_cap_11        ,pose_cap_12             ,pose_cap_13            ,pose_cap_20             ,pose_cap_21             ,pose_cap_22        ,pose_cap_23             ,pose_cap_30 ,pose_cap_31 ,pose_cap_32 ,pose_cap_33
1.0                ,0.0                   ,0.0                     ,0.0                   ,0.0                    ,1.0                ,0.0                     ,0.0                    ,0.0                     ,0.0                     ,1.0                ,0.0                     ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9997696274579251 ,0.019969669678787067  ,0.007867928924565426    ,-0.020834370383420397 ,-0.019971503462005255  ,0.9998005376872076 ,0.0001545633810328356   ,0.02002159797843761    ,-0.007863272989601528   ,-0.000311662143629789   ,0.9999690354228977 ,0.012322477336338844    ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9998389931216144 ,0.015934216673999958  ,0.008251580002783362    ,-0.01849054840850117  ,-0.015932450235372136  ,0.9998730313192208 ,-0.00027976778196274146 ,0.014447470567160219   ,-0.008254990191012154   ,0.00014825484966756678  ,0.9999659159978648 ,0.013114933924363914    ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9996012212863715 ,0.026327964121809537  ,0.010209637995301897    ,-0.026365964555777    ,-0.026253127140104273  ,0.9996279664643815 ,-0.007396078532040049   ,0.036292369784885495   ,-0.010400563357814812   ,0.007125094209011838    ,0.9999205274992383 ,0.01184800561108456     ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9997635262165966 ,0.020112435353397358  ,0.008269316242091332    ,-0.020547974806543134 ,-0.020073479728642967  ,0.9997871420115308 ,-0.004767187850244396   ,0.02589147335025334    ,-0.008363435809525884   ,0.004600066583341957    ,0.9999544451268216 ,0.01074535810018661     ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.999837870406879  ,0.014189603799742696  ,0.011085488002042496    ,-0.020661735902929076 ,-0.01407335146651697   ,0.9998458813044133 ,-0.010495447446491881   ,0.025816445778381394   ,-0.011232705762058861   ,0.010337735855037328    ,0.999883471979938  ,0.01052414123208977     ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9997788672037324 ,0.014333058830747756  ,0.015387661205532336    ,-0.025303241407310884 ,-0.014122151361787402  ,0.9998060272078484 ,-0.01372853960826407    ,0.02631845826671332    ,-0.015581448383789508   ,0.013508196897263736    ,0.9997873509316118 ,0.0160717681267648      ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9999456374253591 ,0.007940697249433347  ,0.006757774869392995    ,-0.010045224222394065 ,-0.007890737841721852  ,0.9999415773239829 ,-0.007387705675139087   ,0.010769613184828936   ,-0.006816043596235507   ,0.007333980230550757    ,0.9999498758856249 ,0.007929720563577746    ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9999135107989064 ,0.0017243018987206998 ,0.013038316791946832    ,-0.014458582284479158 ,-0.0015058988264680221 ,0.9998587060671134 ,-0.016742167438206987   ,0.01171437953552057    ,-0.01306534310799133    ,0.01672108503556538     ,0.9997748257106249 ,0.010423583840033931    ,        0.0 ,        0.0 ,        0.0 ,        1.0
0.9999417262006752 ,-0.009033225401387613 ,0.005911433130914314    ,0.0016620858777354284 ,0.009091170532778286   ,0.9999101612370378 ,-0.009849876815053824   ,-0.011386783506096659  ,-0.005821925897628025   ,0.009903044671996084    ,0.9999340152655442 ,0.004308793268953571    ,        0.0 ,        0.0 ,        0.0 ,        1.0
